Brand,PartNo,Company Code,Description,Unit,HSN,Rate,GST,MRP,Packing Size,Standard Packing,Segment,VehicleBrand,Model
Demo Group1,1054,,Description demo here,Pcs,84835090,176,18%,289,1,,"CAR, HCV",ASHOK LEYLAND,"4019 BS4, 2518"
Demo Group1,1055,,Description demo here,Pcs,84835090,177,18%,290,1,,HCV,ASHOK LEYLAND,CAPTAIN
Demo Group1,1056,,Description demo here,Pcs,84835090,178,18%,291,1,,HCV,ASHOK LEYLAND,BUS
Demo Group1,1057,,Description demo here,Pcs,84835090,179,18%,292,1,,HCV,ASHOK LEYLAND,"BS6, BS4"
Demo Group1,1058,,Description demo here,Pcs,84835090,180,18%,293,1,,HCV,ASHOK LEYLAND,"ECOMNT 1012, ECOMET 1612"
Demo Group1,1059,,Description demo here,Pcs,84835090,181,18%,294,1,,HCV,ASHOK LEYLAND,BUS BS6
Demo Group1,1060,,Description demo here,Pcs,84835090,182,18%,295,1,,HCV,ASHOK LEYLAND,CAPTAIN
Demo Group1,1061,,Description demo here,Pcs,84835090,183,18%,296,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group1,1062,,Description demo here,Pcs,84835090,184,18%,297,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group1,1063,,Description demo here,Pcs,84835090,185,18%,298,1,,HCV,ASHOK LEYLAND,BUS BS6
Demo Group1,1064,,Description demo here,Pcs,84835090,186,18%,299,1,,LCV,MAHINDRA,"MAXX, BOLERO TURBO"
Demo Group1,1065,,Description demo here,Pcs,84835090,187,18%,300,1,,LCV,MAHINDRA,MAXITRUCK M2DI
Demo Group1,1066,,Description demo here,Pcs,84835090,188,18%,301,1,,LCV,MAHINDRA,JEETO
Demo Group1,1067,,Description demo here,Pcs,84835090,189,18%,302,1,,CAR,SKODA,OCTAVIA
Demo Group1,1068,,Description demo here,Pcs,84835090,190,18%,303,1,,HCV,MAN,MAN TRUCK
Demo Group1,1069,,Description demo here,Pcs,84835090,191,18%,304,1,,HCV,MAN,MAN TRUCK
Demo Group2,1070,,Description demo here,Pcs,84835090,192,18%,305,1,,HCV,BHARATBENZ,"2528, 2523"
Demo Group2,1071,,Description demo here,Pcs,84835090,193,18%,306,1,,HCV,BHARATBENZ,3128
Demo Group2,1072,,Description demo here,Pcs,84835090,194,18%,307,1,,HCV,BHARATBENZ,BHARATBENZ
Demo Group2,1073,,Description demo here,Pcs,84835090,195,18%,308,1,,LCV,BHARATBENZ,9TON
Demo Group2,1074,,Description demo here,Pcs,84835090,196,18%,309,1,,HCV,BHARATBENZ,BS6
Demo Group2,1075,,Description demo here,Pcs,84835090,197,18%,310,1,,HCV,EICHER,BS6 430 DI
Demo Group2,1076,,Description demo here,Pcs,84835090,198,18%,311,1,,HCV,EICHER,JUMBO
Demo Group2,1077,,Description demo here,Pcs,84835090,199,18%,312,1,,HCV,EICHER,TERRA 25
Demo Group2,1078,,Description demo here,Pcs,84835090,200,18%,313,1,,HCV,TATA,TERRA 1316
Demo Group2,1079,,Description demo here,Pcs,84835090,201,18%,314,1,,HCV,EICHER,1090
Demo Group2,1080,,Description demo here,Pcs,84835090,202,18%,315,1,,HCV,EICHER,"1110, 1112, 1114"
Demo Group2,1081,,Description demo here,Pcs,84835090,203,18%,316,1,,LCV,EICHER,CANTER
Demo Group2,1082,,Description demo here,Pcs,84835090,204,18%,317,1,,HCV,EICHER,3025
Demo Group2,1083,,Description demo here,Pcs,84835090,205,18%,318,1,,HCV,EICHER,1090
Demo Group2,1084,,Description demo here,Pcs,84835090,206,18%,319,1,,HCV,EICHER,PRO 5016
Demo Group2,1085,,Description demo here,Pcs,84835090,207,18%,320,1,,HCV,EICHER,PRO 5016
Demo Group2,1086,,Description demo here,Pcs,84835090,208,18%,321,1,,HCV,EICHER,PRO 6025
Demo Group2,1087,,Description demo here,Pcs,84835090,209,18%,322,1,,HCV,EICHER,PRO 6026
Demo Group2,1088,,Description demo here,Pcs,84835090,210,18%,323,1,,LCV ,EICHER,E494
Demo Group2,1089,,Description demo here,Pcs,84835090,211,18%,324,1,,HCV,EICHER,"1110, 1112, 1114"
Demo Group2,1090,,Description demo here,LIST,HSN0,212,18%,325,0,,,,
Demo Group2,1091,,Description demo here,Pcs,84835090,213,18%,326,1,,HCV,TATA,HYVA GB60
Demo Group2,1092,,Description demo here,Pcs,84835090,214,18%,327,1,4,HCV,BHARATBENZ,"T-114 9TON, T-114 11 TON"
Demo Group2,1093,,Description demo here,PCS,,,,328,0,,,,
Demo Group2,1094,ML4325331,Description demo here,SET,68138100,1581,18%,329,1,,HCV,TATA,"1109, 909"
Demo Group2,1095,,Description demo here,SET,68138100,1619,18%,330,1,4,,,
Demo Group2,1096,ML4325332,Description demo here,SET,68132010,1667,18%,331,1,4,HCV,TATA,"1109, 909"
Demo Group2,1097,,Description demo here,SET,68138100,0,18%,332,1,4,,,
Demo Group2,1098,ML4325330,Description demo here,SET,68138100,1463,18%,333,1,,HCV,TATA,"1109, 909"
Demo Group2,1099,,Description demo here,SET,68138100,1474,18%,334,1,4,,,
Demo Group2,1100,ML4411120,Description demo here,SET,68132010,1984,18%,335,0.5,,HCV,ASHOK LEYLAND,370
Demo Group2,1101,ML4412121,Description demo here,SET,68132010,2303,18%,336,1,,HCV,ASHOK LEYLAND,370
Demo Group2,1102,ML4412120,Description demo here,SET,68132010,2201,18%,337,1,,HCV,ASHOK LEYLAND,370
Demo Group2,1103,ML4159081,Description demo here,SET,68132010,493,18%,338,1,,LCV,TATA,SUMO 207DI
Demo Group2,1104,ML4159082,Description demo here,SET,68132010,537,18%,339,1,,LCV,TATA,SUMO 207DI
Demo Group3,1105,ML4159080,Description demo here,SET,68132010,434,18%,340,1,,LCV,TATA,SUMO 207DI
Demo Group3,1106,,Description demo here,SET,68132010,3550,18%,341,0.5,2,HCV,TATA,FUVA
Demo Group3,1107,ML4403331,Description demo here,SET,68132010,1861,18%,342,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1108,ML4403332,Description demo here,SET,68132010,1937,18%,343,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1109,ML4403120,Description demo here,SET,68132010,1510,18%,344,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1110,,Description demo here,SET,68132010,3260,18%,345,0.5,2,HCV,TATA,TRAILER
Demo Group3,1111,ML4322541,Description demo here,SET,68132010,1485,18%,346,1,,HCV,TATA,709
Demo Group3,1112,,Description demo here,SET,68138900,1524,18%,347,1,3,HCV,TATA,709
Demo Group3,1113,,Description demo here,SET,68132010,1639,18%,348,1,3,HCV,TATA,709
Demo Group3,1114,ML4322540,Description demo here,SET,68138100,1368,18%,349,1,,HCV,TATA,709
Demo Group3,1115,,Description demo here,SET,68138900,1407,18%,350,1,3,HCV,TATA,709
Demo Group3,1116,ML4309541,Description demo here,SET,68138100,1544,18%,351,1,,HCV,TATA,909
Demo Group3,1117,,Description demo here,SET,68138100,1560,18%,352,1,3,,,
Demo Group3,1118,,Description demo here,SET,68138100,0,18%,353,1,3,,,
Demo Group3,1119,ML4309540,Description demo here,SET,68138100,1477,18%,354,1,,HCV,TATA,909
Demo Group3,1120,,Description demo here,SET,68138100,1494,18%,355,1,3,,,
Demo Group3,1121,,Description demo here,SET,68132010,2095,18%,356,0.5,2,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1122,MS4112840,Description demo here,SET,68132010,1197,18%,357,1,,CAR,TOYOTA,QUALIS
Demo Group3,1123,MS4150090,Description demo here,SET,68132010,1666,18%,358,1,,CAR,CHEVROLET,TAVERA
Demo Group3,1124,MS4302090,Description demo here,SET,87083000,398,18%,359,1,,LCV,TATA,ACE
Demo Group3,1125,MS4301090,Description demo here,SET,87083000,421,18%,360,1,,LCV,TATA,709LPT
Demo Group3,1126,MS3114090,Description demo here,SET,68132010,314,18%,361,1,,CAR,MARUTI,CAR
Demo Group3,1127,MD15090440,Description demo here,SET,68132010,1198,18%,362,1,10,CAR,MAHINDRA,SCORPIO
Demo Group3,1128,MD4207610,Description demo here,SET,68132010,915,18%,363,1,,LCV,FORCE MOTORS,TEMPO TRAVELLER
Demo Group3,1129,MD4160610,Description demo here,SET,87083000,880,18%,364,1,,LCV,TATA,SUMO
Demo Group3,1130,MD3223440,Description demo here,SET,68132010,852,18%,365,1,,CAR,CHEVROLET,TAVERA
Demo Group3,1131,MD4171440,Description demo here,SET,68132010,760,18%,366,1,,CAR,HYUNDAI,SANTRO
Demo Group3,1132,MD4168610,Description demo here,SET,87083000,571,18%,367,1,,CAR,MARUTI,"ACE, ESTEEM"
Demo Group3,1133,MD4135600,Description demo here,SET,68132010,912,18%,368,1,,CAR,TOYOTA,QUALIS
Demo Group3,1134,MD9973440,Description demo here,SET,68132010,964,18%,369,1,,CAR,HYUNDAI,SANTRO XING
Demo Group3,1135,,Description demo here,SET,68132010,128,18%,370,1,,"2 WHEELERS,3 WHEELERS",HERO,PASSION PLUS
Demo Group3,1136,,Description demo here,SET,68132010,628,18%,371,1,,CAR,MARUTI,"ALTO, WAGON R"
Demo Group3,1137,MD9980440,Description demo here,SET,68132010,741,18%,372,1,20,CAR,MARUTI,SWIFT
Demo Group3,1138,MD9990440,Description demo here,SET,68132010,729,18%,373,1,,CAR,TATA,INDIGO
Demo Group3,1139,,Description demo here,SET,68132010,3954,18%,374,0.5,2,HCV,TATA,AMW
Demo Group3,1140,ML4425910,Description demo here,SET,68132010,3076,18%,375,0.5,2,HCV,TATA,AMW
Demo Group3,1141,ML4156081,Description demo here,SET,68138100,399,18%,376,1,,CAR,MAHINDRA,COMMANDER
Demo Group3,1142,ML4156082,Description demo here,SET,68138100,465,18%,377,1,,CAR,MAHINDRA,COMMANDER
Demo Group3,1143,ML4156080,Description demo here,SET,68138100,335,18%,378,1,,CAR,MAHINDRA,COMMANDER
Demo Group3,1144,ML4323541,Description demo here,SET,68138100,1242,18%,379,1,,LCV,EICHER,CANTER
Demo Group3,1145,,Description demo here,SET,68138100,1258,18%,380,1,6,,,
Demo Group3,1146,ML4323542,Description demo here,SET,68138100,1453,18%,381,1,,LCV,EICHER,CANTER
Demo Group3,1147,,Description demo here,SET,68138100,1504,18%,382,1,6,,,
Demo Group3,1148,ML4323540,Description demo here,SET,68138100,1091,18%,383,1,,LCV,EICHER,CANTER
Demo Group3,1149,,Description demo here,SET,68138100,1112,18%,384,1,6,LCV,EICHER,CANTER
Demo Group3,1150,ML4303541,Description demo here,SET,68132010,959,18%,385,1,,LCV,EICHER,CANTER
Demo Group3,1151,ML4303540,Description demo here,SET,68132010,836,18%,386,1,,LCV,EICHER,CANTER
Demo Group3,1152,,Description demo here,SET,68138100,0,18%,387,1,3,,,
Demo Group3,1153,,Description demo here,SET,68138100,0,18%,388,1,3,,,
Demo Group3,1154,ML4308080,Description demo here,SET,68138100,1558,18%,389,1,3,LCV,EICHER,CANTER
Demo Group3,1155,,Description demo here,SET,68138100,0,18%,390,1,3,,,
Demo Group3,1156,ML4155051,Description demo here,SET,68132010,323,18%,391,1,,LCV,JEEP,FC
Demo Group3,1157,ML4155052,Description demo here,SET,68132010,338,18%,392,1,,LCV,JEEP,FC
Demo Group3,1158,ML4155050,Description demo here,SET,68132010,298,18%,393,1,,LCV,JEEP,FC
Demo Group3,1159,,Description demo here,SET,68132010,3386,18%,394,0.5,2,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1160,,Description demo here,SET,68132010,3068,18%,395,0.5,2,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1161,,Description demo here,SET,68138900,0,18%,396,0.5,,HCV,,
Demo Group3,1162,,Description demo here,SET,68138900,0,18%,397,0.5,,HCV,,
Demo Group3,1163,,Description demo here,SET,68138900,3310,18%,398,0.5,,HCV,,
Demo Group3,1164,,Description demo here,SET,68132010,0,18%,399,1,,TRACTOR,FORD,3000
Demo Group3,1165,ML5106151,Description demo here,SET,68132010,348,18%,400,1,,TRACTOR,MAHINDRA,B-275
Demo Group3,1166,ML5106150,Description demo here,SET,68132010,329,18%,401,1,,TRACTOR,MAHINDRA,B-275
Demo Group3,1167,ML4313541,Description demo here,SET,68138100,876,18%,402,1,,HCV,TATA,407
Demo Group3,1168,,Description demo here,SET,68138100,891,18%,403,1,3,,,
Demo Group3,1169,ML4313542,Description demo here,SET,68138100,912,18%,404,1,,HCV,TATA,407
Demo Group3,1170,,Description demo here,SET,68138100,0,18%,405,1,3,,,
Demo Group3,1171,ML4313540,Description demo here,SET,68138100,826,18%,406,1,,HCV,TATA,407
Demo Group3,1172,,Description demo here,SET,68138100,819,18%,407,1,3,,,
Demo Group3,1173,ML4314541,Description demo here,SET,68138100,1207,18%,408,1,,HCV,TATA,608
Demo Group3,1174,,Description demo here,SET,68138100,1265,18%,409,1,3,,,
Demo Group3,1175,ML4314542,Description demo here,SET,68132010,1355,18%,410,1,,HCV,TATA,608
Demo Group3,1176,,Description demo here,SET,68138100,0,18%,411,1,3,,,
Demo Group3,1177,ML4314540,Description demo here,SET,68132010,1005,18%,412,1,,HCV,TATA,608
Demo Group3,1178,,Description demo here,SET,68138100,0,18%,413,1,3,,,
Demo Group3,1179,,Description demo here,LIST,HSN0,0,GST0,414,1,,UNIVERSAL,,
Demo Group3,1180,ML4205080,Description demo here,SET,68132010,429,18%,415,1,,CAR,MAHINDRA,MAXX
Demo Group3,1181,ML4324051,Description demo here,SET,68138100,491,18%,416,1,,CAR,MAHINDRA,MARSHAL
Demo Group3,1182,,Description demo here,SET,68138100,524,18%,417,1,20,CAR,MAHINDRA,MARSHAL
Demo Group3,1183,ML4324052,Description demo here,SET,68138100,538,18%,418,1,,CAR,MAHINDRA,MARSHAL
Demo Group3,1184,,Description demo here,SET,68138900,571,18%,419,1,20,CAR,MAHINDRA,MARSHAL
Demo Group3,1185,ML4324050,Description demo here,SET,68138100,478,18%,420,1,,CAR,MAHINDRA,MARSHAL
Demo Group3,1186,,Description demo here,SET,68138100,478,18%,421,1,20,CAR,MAHINDRA,MARSHAL
Demo Group3,1187,MS4181090,Description demo here,SET,68132010,953,18%,422,1,,CAR,MARUTI,"OMNI, VAN"
Demo Group3,1188,MS4182090,Description demo here,SET,68132010,916,18%,423,1,,CAR,MARUTI,"OMNI, VAN"
Demo Group3,1189,,Description demo here,SET,87083000,409,18%,424,0,,3 WHEELERS,BAJAJ,GC1000
Demo Group3,1190,MS4103090,Description demo here,SET,68132010,423,18%,425,1,,CAR,MARUTI,CAR
Demo Group3,1191,MS4127090,Description demo here,SET,68132010,720,18%,426,1,,CAR,MARUTI,ESTEEM
Demo Group3,1192,ML4421333,Description demo here,SET,68132010,2398,18%,427,1,4,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1193,ML4421430,Description demo here,SET,68132010,1925,18%,428,0.5,2,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1194,ML4422370,Description demo here,SET,68132010,2464,18%,429,0.5,2,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1195,ML4420330,Description demo here,SET,68132010,3026,18%,430,0.5,2,HCV,TATA,1612
Demo Group3,1196,,Description demo here,SET,68138100,4416,18%,431,0.5,2,HCV,TATA,PRIMA
Demo Group3,1197,ML4421121,Description demo here,SET,68132010,2124,18%,432,0.5,4,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1198,ML4421331,Description demo here,SET,68132010,2124,18%,433,1,,HCV,TATA,1612
Demo Group3,1199,ML4421122,Description demo here,SET,68132010,2212,18%,434,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1200,ML4421123,Description demo here,SET,68132010,2398,18%,435,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1201,ML4421120,Description demo here,SET,68132010,2028,18%,436,0.5,,CAR,ASHOK LEYLAND,CEOMET
Demo Group3,1202,ML4422121,Description demo here,SET,68132010,2890,18%,437,0.5,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1203,ML4422122,Description demo here,SET,68132010,3140,18%,438,0.5,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1204,ML4422123,Description demo here,SET,68132010,3624,18%,439,0.5,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1205,ML4422120,Description demo here,SET,68132010,2640,18%,440,0.5,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1206,,Description demo here,SET,68132010,3076,18%,441,0.5,2,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group3,1207,ML4304541,Description demo here,SET,68132010,984,18%,442,1,,LCV,EICHER,CANTER
Demo Group4,1208,ML4304540,Description demo here,SET,68138100,876,18%,443,1,,LCV,EICHER,CANTER
Demo Group4,1209,ML4305541,Description demo here,SET,68138100,941,18%,444,1,,LCV,EICHER,CANTER
Demo Group4,1210,,Description demo here,SET,68138100,0,18%,445,1,6,,,
Demo Group4,1211,ML4305542,Description demo here,SET,68138100,1025,18%,446,1,,LCV,EICHER,CANTER
Demo Group4,1212,,Description demo here,SET,68138100,0,18%,447,1,6,,,
Demo Group4,1213,ML4305540,Description demo here,SET,68138100,823,18%,448,1,,LCV,EICHER,CANTER
Demo Group4,1214,,Description demo here,SET,68138100,875,18%,449,1,6,,,
Demo Group4,1215,ML5107161,Description demo here,SET,68132010,382,18%,450,1,,TRACTOR,MASSEY FERGUSON,MASSEY FERGUSON
Demo Group4,1216,ML5107160,Description demo here,SET,68132010,339,18%,451,1,,TRACTOR,MASSEY FERGUSON,1035
Demo Group4,1217,ML5108150,Description demo here,SET,68132010,329,18%,452,1,,TRACTOR,SWARAJ,724
Demo Group4,1218,ML5116150,Description demo here,SET,68132010,424,18%,453,1,,TRACTOR,SWARAJ,855
Demo Group4,1219,,Description demo here,SET,68132010,0,18%,454,1,,CAR,HINDUSTAN MOTORS,TREKKER
Demo Group4,1220,,Description demo here,SET,68132010,0,18%,455,1,,CAR,HINDUSTAN MOTORS,TREKKER
Demo Group4,1221,,Description demo here,SET,68132010,0,18%,456,1,,CAR,HINDUSTAN MOTORS,TREKKER
Demo Group4,1222,ML4419591,Description demo here,SET,68132010,3182,18%,457,0.5,,HCV,TATA,1612
Demo Group4,1223,,Description demo here,SET,68138100,3266,18%,458,0.5,2,,,
Demo Group4,1224,ML4419592,Description demo here,SET,68132010,3130,18%,459,0.5,,HCV,TATA,1612
Demo Group4,1225,,Description demo here,SET,68138100,0,18%,460,0.5,2,,,
Demo Group4,1226,ML4419590,Description demo here,SET,68138100,2882,18%,461,0.5,,HCV,TATA,1612
Demo Group4,1227,,Description demo here,SET,68138100,0,18%,462,0.5,2,,,
Demo Group4,1228,ML4420591,Description demo here,SET,68138100,3316,18%,463,0.5,,HCV,TATA,1612
Demo Group4,1229,,Description demo here,SET,68138100,0,18%,464,0.5,2,,,
Demo Group4,1230,ML4420592,Description demo here,SET,68138100,3612,18%,465,0.5,,HCV,TATA,1612
Demo Group4,1231,,Description demo here,SET,68138100,0,18%,466,0.5,2,,,
Demo Group4,1232,ML4420590,Description demo here,SET,68138100,3030,18%,467,0.5,,HCV,TATA,1612
Demo Group4,1233,,Description demo here,SET,68132010,3116,18%,468,0.5,2,HCV,TATA,1612
Demo Group4,1234,ML4417591,Description demo here,SET,68132010,1500,18%,469,0.5,,HCV,TATA,1210SE
Demo Group4,1235,ML4417590,Description demo here,SET,68138100,1392,18%,470,0.5,,HCV,TATA,1210SE
Demo Group4,1236,ML4417592,Description demo here,SET,68132010,1576,18%,471,0.5,,HCV,TATA,1210SE
Demo Group4,1237,ML4418591,Description demo here,SET,68132010,1800,18%,472,0.5,,HCV,TATA,1210SE
Demo Group4,1238,ML4418592,Description demo here,SET,68132010,1884,18%,473,0.5,,HCV,TATA,1210SE
Demo Group4,1239,ML4418590,Description demo here,SET,68132010,1718,18%,474,0.5,,HCV,TATA,1210SE
Demo Group4,1240,ML4424910,Description demo here,SET,68132010,3612,18%,475,0.5,2,CAR,TATA,TRUCK
Demo Group4,1241,,Description demo here,PCS,,,,476,0,,,,
Demo Group4,1242,,Description demo here,PCS,84841010,150,18%,477,1,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1243,,Description demo here,PCS,84841010,90,18%,478,10,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1244,,Description demo here,PCS,84841010,22,18%,479,10,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1245,,Description demo here,PCS,84841010,12,18%,480,10,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1246,,Description demo here,PCS,84841010,7,18%,481,10,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1247,,Description demo here,PCS,84841010,22,18%,482,10,,HCV,TATA,1210SE
Demo Group4,1248,,Description demo here,PCS,84841010,58,18%,483,10,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1249,,Description demo here,PCS,84841010,26,18%,484,20,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1250,,Description demo here,PCS,84841010,16,18%,485,10,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1251,,Description demo here,PCS,84841010,74,18%,486,10,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1252,,Description demo here,PCS,84841010,34,18%,487,20,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1253,,Description demo here,PCS,84841010,90,18%,488,10,,HCV,TATA,"1510, 1612, 2416"
Demo Group4,1254,,Description demo here,PCS,84841010,48,18%,489,10,,HCV,TATA,"1510, 1612, 2416"
Demo Group4,1255,,Description demo here,PCS,84841010,74,18%,490,10,,HCV,TATA,"1210S, 1210SE"
Demo Group4,1256,,Description demo here,PCS,84841010,70,18%,491,10,,HCV,TATA,"1210S, 1210SE"
